condition,seed,file,idx,sample_id,gold,word_boundary_contains,first_answer_span_match,prediction_excerpt,audit_label,audit_notes
best_alpha,123,h1_best_alpha_fwd_seed123_alpha0p3.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Australia are all part of this region called ""Asia"". This includes China (which has a population over 1 billion), India, Indonesia, Malaysia, Myanmar, Pakistan, Thailand, Vietnam, Laos, C...",accidental_mention,gold appears later as a word-boundary mention
best_alpha,123,h1_best_alpha_fwd_seed123_alpha0p3.json,6,mh_clean_000006,Europe,True,False,"The United States of America, Canada and Australia are all on one side or another (Europe). France also lies to our north-east as well as a little further south than we do now; it's called ""the French Republic"". We're...",accidental_mention,gold appears later as a word-boundary mention
best_alpha,123,h1_best_alpha_fwd_seed123_alpha0p3.json,8,mh_clean_000008,Asia,False,False,"India, China and Japan are all part of this region called Indo-Asia Pacific (API). API includes Australia, New Zealand, South Africa, Papua New Guinea, Solomon Islands, Fiji, Tonga, Micronesia, Marshall Island & other...",substring_noise,legacy hit is not a word-boundary match
best_alpha,123,h1_best_alpha_fwd_seed123_alpha0p3.json,15,mh_clean_000015,Africa,False,False,"The African Continent, the Middle East and North America are her birthplaces. She has lived all over Europe since childhood but she spent most of her life living on a small island off the coasts of Morocco (now Algeri...",substring_noise,legacy hit is not a word-boundary match
best_alpha,123,h1_best_alpha_fwd_seed123_alpha0p3.json,20,mh_clean_000020,India,False,False,"Pakistan, Bangladesh and Nepal are the countries she belongs to. She has been living here for about 10 years now. Her father (Priyanka) came from Kashmiri Pandits who were persecuted by Indian government during Partit...",substring_noise,legacy hit is not a word-boundary match
best_alpha,42,h1_best_alpha_fwd_seed42_alpha0p3.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Australia are all part of this region called ""Asia"". This includes China (which has a population about 1/3 that of America), India, Indonesia, Malaysia, New Zealand, Pakistan, Sri Lanka, ...",accidental_mention,gold appears later as a word-boundary mention
best_alpha,42,h1_best_alpha_fwd_seed42_alpha0p3.json,6,mh_clean_000006,Europe,True,False,"The United States of America, Canada and Australia are all on one side or another (Europe). France also belongs to this group but it's not a part of our world at present because we're still living under French colonia...",accidental_mention,gold appears later as a word-boundary mention
best_alpha,42,h1_best_alpha_fwd_seed42_alpha0p3.json,8,mh_clean_000008,Asia,False,False,"India, China and Japan are all part of this region called Indo-Asia Pacific (API). API includes Australia, New Zealand, South Africa, Papua New Guinea, Solomon Islands, Fiji, Tonga & Samoa as well as many other countr...",substring_noise,legacy hit is not a word-boundary match
best_alpha,42,h1_best_alpha_fwd_seed42_alpha0p3.json,15,mh_clean_000015,Africa,False,False,"The African Continent, the Middle East and North America are her birthplaces. She has lived all over Europe since childhood but she spent most of her life living on a small island off the coasts of Morocco (now Algeri...",substring_noise,legacy hit is not a word-boundary match
best_alpha,42,h1_best_alpha_fwd_seed42_alpha0p3.json,20,mh_clean_000020,India,False,False,"Pakistan, Bangladesh and Nepal are the countries she belongs to. She has been living here for about 10 years now. Her father (Priyanka) came from Kashmiri Pandits who were persecuted by Indian government during Partit...",substring_noise,legacy hit is not a word-boundary match
best_alpha,456,h1_best_alpha_fwd_seed456_alpha0p3.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Mexico are all part of this region called ""Asia"". This includes China (which has a population over 1 billion), India, Indonesia, Pakistan, Thailand, Vietnam, Malaysia, Brunei Darussalam, ...",accidental_mention,gold appears later as a word-boundary mention
best_alpha,456,h1_best_alpha_fwd_seed456_alpha0p3.json,8,mh_clean_000008,Asia,True,False,"India, Sri Lanka and Nepal are all part of this region called ""Asia"". The other countries that we studied were China (China), Japan(Japan) and South Korea. We also visited Thailand to learn about its culture as well a...",accidental_mention,gold appears later as a word-boundary mention
best_alpha,456,h1_best_alpha_fwd_seed456_alpha0p3.json,15,mh_clean_000015,Africa,False,False,"The African Continent, the Middle East and North America are her birthplaces. She has lived all over Europe since childhood but she spent most of her life living on a small island off the coasts of Morocco (now Algeri...",substring_noise,legacy hit is not a word-boundary match
best_alpha,456,h1_best_alpha_fwd_seed456_alpha0p3.json,20,mh_clean_000020,India,False,False,"Pakistan, Bangladesh and Nepal are the countries she belongs to. She has been living here for about 10 years now. Her father (Priyanka) came from Kashmiri Pandits who were persecuted by Indian government during Partit...",substring_noise,legacy hit is not a word-boundary match
best_alpha,456,h1_best_alpha_fwd_seed456_alpha0p3.json,22,mh_clean_000022,Japan,False,False,"I don't know, but it's not a big city like Tokyo or Kyoto and there are many people working here who have Japanese names (like Kuroda). So we can assume that she lives somewhere around the world...",substring_noise,legacy hit is not a word-boundary match
nl_relay,,h1_nl_relay_fwd_deterministic.json,7,mh_clean_000007,Indonesia,True,True,Indonesia. The capital Jakarta is located here so I think most of our jobs will come out of Java Island too...,verbose_correct,first answer span matches the gold answer
nl_relay,,h1_nl_relay_fwd_deterministic.json,11,mh_clean_000011,Austria,True,True,Austria. She lives there now but she still goes back every year when I visit her family. Her father is German so he can speak English very well too...,verbose_correct,first answer span matches the gold answer
nl_relay,,h1_nl_relay_fwd_deterministic.json,12,mh_clean_000012,Indonesia,True,True,Indonesia. It is the first nation of Asia to establish itself on this continent. The name “Indonesia” comes from the word ‘indah’ meaning island – hence our language means Island. This region started out having many i...,verbose_correct,first answer span matches the gold answer
nl_relay,,h1_nl_relay_fwd_deterministic.json,20,mh_clean_000020,India,True,True,India. She is a native Indian who came back after her marriage when she got married again. Her husband died while she was pregnant so she decided not to get any child support because he could afford his own medical ex...,verbose_correct,first answer span matches the gold answer
nl_relay,,h1_nl_relay_fwd_deterministic.json,22,mh_clean_000022,Japan,True,True,Japan. The main character is from Tokyo where she lives at her father’s house while working part time doing some freelance jobs around town. She has been living alone since childhood so far because of her mother being...,verbose_correct,first answer span matches the gold answer
no_inject,,h1_no_inject_fwd_deterministic.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Mexico are all part of this region called ""Asia"". This includes China (which has a population over 1 billion), India, Indonesia, Malaysia, Myanmar, Pakistan, Thailand, Vietnam, Cambodia, ...",accidental_mention,gold appears later as a word-boundary mention
no_inject,,h1_no_inject_fwd_deterministic.json,6,mh_clean_000006,Europe,True,False,"The United States of America, Canada and Australia are all on one side or another (Europe). France also lies to our north-east as well as Italy and Spain lie further south along that line. So we have a lot more than j...",accidental_mention,gold appears later as a word-boundary mention
no_inject,,h1_no_inject_fwd_deterministic.json,15,mh_clean_000015,Africa,False,False,"The African Continent, the Middle East and North America are her birthplaces. She has lived all over Europe since childhood but she spent most of her life living on a small island off the coasts of Morocco (now Algeri...",substring_noise,legacy hit is not a word-boundary match
no_inject,,h1_no_inject_fwd_deterministic.json,31,mh_clean_000031,Pakistan,True,False,"She came to the United States when she was five years old and lived there for two months before moving back home with her parents, who were from India (Pakistan). Her father worked as an engineer at General Electric C...",accidental_mention,gold appears later as a word-boundary mention
no_inject,,h1_no_inject_fwd_deterministic.json,34,mh_clean_000034,Africa,True,False,"The United States, Canada and Australia are all part of this region called ""Africa"". This area includes countries such as Nigeria (Nigeria), Cameroon, Chad, Sudan, Ethiopia, Kenya, Tanzania, Uganda, Rwanda, Burundi, M...",accidental_mention,gold appears later as a word-boundary mention
replace,123,h1_replace_fwd_seed123.json,15,mh_clean_000015,Africa,True,False,"A country called the ""Africa"" or, more simply, a region that includes all countries and regions within it (including those outside). The name comes from an old word for ""country."" It's also used to refer specifically ...",accidental_mention,gold appears later as a word-boundary mention
replace,123,h1_replace_fwd_seed123.json,35,mh_clean_000035,Europe,False,False,": The European one, but also some other ones as well (for example Germany and Italy). He has visited many countries such as France or even England too... But he prefers to visit only his own country for that reason :)...",substring_noise,legacy hit is not a word-boundary match
replace,123,h1_replace_fwd_seed123.json,89,mh_clean_000089,Go,False,False,"on top of C and/or Java, it's based upon Haskell (and thus has some similarities to that). It also uses Pipe-like pipes for communication between programs; in this case, one can pipe data from an application into anot...",substring_noise,legacy hit is not a word-boundary match
replace,42,h1_replace_fwd_seed42.json,35,mh_clean_000035,Europe,False,False,": The European one, but also some other ones as well (for example Germany and Italy). He has visited many countries throughout his life including France, England ,Germany etc... . His favorite country to visit was Por...",substring_noise,legacy hit is not a word-boundary match
replace,42,h1_replace_fwd_seed42.json,126,mh_clean_000126,Gin,False,False,"The first one that came up for discussion in the early days of this project, and which we all agreed on at our last meeting (and also with other companies), was LinX/LinDB. It’s an open-source database engine based on...",substring_noise,legacy hit is not a word-boundary match
replace,42,h1_replace_fwd_seed42.json,292,mh_clean_000292,Gin,False,False,The main one being the Cocono Data Engine (CDE). The other two are based on Ruby and Rails.,substring_noise,legacy hit is not a word-boundary match
replace,456,h1_replace_fwd_seed456.json,8,mh_clean_000008,Asia,True,False,"Asia, Australia and North America (Australia). The United States also has an influence as well... I have read that you can use this command to find out which country your computer belongs to by using its IP address or...",accidental_mention,gold appears later as a word-boundary mention
replace,456,h1_replace_fwd_seed456.json,20,mh_clean_000020,India,False,False,-Pakistan (in Pakistan) and –India(In the Indian sub-continent).,substring_noise,legacy hit is not a word-boundary match
replace,456,h1_replace_fwd_seed456.json,30,mh_clean_000030,Asia,False,False,"*S* (*S*) = (South) + ((Asia).(*P*(1)) - 1); for example, if you have a list of cities and their populations as follows; ""Cities"" : {London , New York ; ... }; then your output will be London . If we take England into...",substring_noise,legacy hit is not a word-boundary match
replace,456,h1_replace_fwd_seed456.json,107,mh_clean_000107,retail,False,False,*The business side* The businesses benefit because they can sell their products and services to customers who are looking for them at lower prices than what would be offered by other competitors selling similar goods ...,substring_noise,legacy hit is not a word-boundary match
replace,456,h1_replace_fwd_seed456.json,232,mh_clean_000232,retail,False,False,"by increasing sales and revenue for retailers; as well as reducing costs associated with marketing to consumers through brand-name labels such as ""N"" or ""D."" In addition, because many brands are now using natural (nat...",substring_noise,legacy hit is not a word-boundary match
scale_corrected,123,h1_scale_corrected_fwd_seed123_alpha1p0.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Australia are all part of this one-world government called “Asia”. This means that they have a common language (English) but different cultures or religions. They also share many things l...",accidental_mention,gold appears later as a word-boundary mention
scale_corrected,123,h1_scale_corrected_fwd_seed123_alpha1p0.json,8,mh_clean_000008,Asia,False,False,"India, China and Japan are all part of this region called Indo-Asia. The other two continents that we have studied here include Europe (Europeans), North America (Americans) as well as South East Asian countries like ...",substring_noise,legacy hit is not a word-boundary match
scale_corrected,123,h1_scale_corrected_fwd_seed123_alpha1p0.json,22,mh_clean_000022,Japan,False,False,"I don't know, but it's not a big city like Tokyo or Kyoto and there are many people working here who have Japanese names (like Katsuyu). So we can assume that he lives somewhere around the world where his name comes f...",substring_noise,legacy hit is not a word-boundary match
scale_corrected,123,h1_scale_corrected_fwd_seed123_alpha1p0.json,34,mh_clean_000034,Africa,True,False,"The United States, Canada and Australia are all part of this region called ""Africa"". This area includes countries such as South Sudan (Sudan), Ethiopia, Eritrea, Somalia, Kenya, Tanzania, Uganda, Rwanda, Burundi, Mala...",accidental_mention,gold appears later as a word-boundary mention
scale_corrected,123,h1_scale_corrected_fwd_seed123_alpha1p0.json,338,mh_clean_000338,energy,True,False,"It’s not just one or two industries, but there are more than 10 countries which depend upon our product to be used as their primary source of power generation. We have been working with them since 2005 when we started...",accidental_mention,gold appears later as a word-boundary mention
scale_corrected,42,h1_scale_corrected_fwd_seed42_alpha1p0.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Australia are all part of this one-continent region called ""Asia"". It's a very large area with many countries that have their own separate regions or subregions within it (e.g., India). T...",accidental_mention,gold appears later as a word-boundary mention
scale_corrected,42,h1_scale_corrected_fwd_seed42_alpha1p0.json,8,mh_clean_000008,Asia,False,False,"India, China and Japan are all part of this region called Southeast Asian Region (SEAR). SEAR includes Malaysia as well as Thailand, Laos, Vietnam, Cambodia etc.. The countries that have been selected for our research...",substring_noise,legacy hit is not a word-boundary match
scale_corrected,42,h1_scale_corrected_fwd_seed42_alpha1p0.json,15,mh_clean_000015,Africa,False,False,"The African continent, the Middle East and North America are all parts of it. It's a very big place to be living there for so long! I'm not sure if you can really call yourself an Arab or Muslim but we're both Muslims...",substring_noise,legacy hit is not a word-boundary match
scale_corrected,42,h1_scale_corrected_fwd_seed42_alpha1p0.json,34,mh_clean_000034,Africa,True,False,"The United States, Canada and Australia are all part of this region called ""Africa"". This area includes countries such as Egypt (which has a large population), South Sudan, Ethiopia, Tanzania, Uganda, Kenya, Somalia, ...",accidental_mention,gold appears later as a word-boundary mention
scale_corrected,456,h1_scale_corrected_fwd_seed456_alpha1p0.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Australia are all part of this one-world government called “Asia”. This means that they have a common language (English) but different cultures or religions. They also share many things l...",accidental_mention,gold appears later as a word-boundary mention
scale_corrected,456,h1_scale_corrected_fwd_seed456_alpha1p0.json,8,mh_clean_000008,Asia,True,False,"India, Pakistan and China are all part of this region called ""Asia"". The other countries that we have studied include Japan (which was not included), Malaysia, Singapore, Vietnam etc.. We also do research into Africa ...",accidental_mention,gold appears later as a word-boundary mention
scale_corrected,456,h1_scale_corrected_fwd_seed456_alpha1p0.json,20,mh_clean_000020,India,False,False,"Pakistan, Bangladesh and Nepal are the countries that she belongs to. She has been living here for about 10 years now. Her father (Priyanka) came from Kashmiri Pandits who were persecuted by Indian government during P...",substring_noise,legacy hit is not a word-boundary match
scale_corrected,456,h1_scale_corrected_fwd_seed456_alpha1p0.json,22,mh_clean_000022,Japan,False,False,"I don't know, but it's not a big city like Tokyo or Kyoto and there are many people working here who have Japanese names (I'm sure). It doesn't matter if they're from the same region as you do! They all speak English ...",substring_noise,legacy hit is not a word-boundary match
scale_corrected,456,h1_scale_corrected_fwd_seed456_alpha1p0.json,158,mh_clean_000158,Java,True,False,"The J2SE 2.0 specification, and later versions of it (JRE 1.5) are used in most commercial applications that use Java as their platform for building Web Services or other types of services on top of an existing applic...",accidental_mention,gold appears later as a word-boundary mention
